0x02000000,0x01000000
0x00004189,0x0100624D
0x80008301,0x0100C4D1
0x8000C468,0x0101278B
0x000105BE,0x01018A7C
0x00014703,0x0101EDA4
0x00018837,0x01025103
0x8001C959,0x0102B499
0x80020A6A,0x01031866
0x00024B6A,0x01037C6B
0x00028C58,0x0103E0A7
0x0002CD35,0x0104451B
0x80030E00,0x0104A9C6
0x80034EB9,0x01050EA9
0x00038F60,0x010573C4
0x0003CFF5,0x0105D917
0x00041078,0x01063EA2
0x800450E9,0x0106A466
0x80049148,0x01070A62
0x0004D195,0x01077097
0x000511CF,0x0107D704
0x800551F7,0x01083DAA
0x8005920C,0x0108A489
0x8005D20E,0x01090BA1
0x000611FE,0x010972F2
0x000651DB,0x0109DA7C
0x800691A5,0x010A4240
0x8006D15C,0x010AAA3D
0x00071100,0x010B1274
0x00075090,0x010B7AE5
0x0007900D,0x010BE38F
0x8007CF77,0x010C4C73
0x80080ECD,0x010CB591
0x00084E10,0x010D1EEA
0x00088D3F,0x010D887D
0x0008CC5A,0x010DF24A
0x80090B61,0x010E5C52
0x80094A54,0x010EC695
0x00098933,0x010F3112
0x0009C7FE,0x010F9BCA
0x000A06B5,0x011006BD
0x800A4557,0x011071EC
0x800A83E5,0x0110DD56
0x000AC25E,0x011148FB
0x000B00C2,0x0111B4DC
0x800B3F12,0x011220F9
0x800B7D4D,0x01128D51
0x800BBB73,0x0112F9E5
0x000BF984,0x011366B5
0x000C3780,0x0113D3C1
0x800C7566,0x0114410A
0x800CB337,0x0114AE8F
0x800CF0F3,0x01151C51
0x000D2E99,0x01158A4F
0x000D6C29,0x0115F88A
0x800DA9A4,0x01166702
0x800DE709,0x0116D5B7
0x000E2458,0x011744A9
0x000E6191,0x0117B3D8
0x000E9EB4,0x01182345
0x800EDBC1,0x011892EF
0x800F18B7,0x011902D7
0x000F5597,0x011972FD
0x000F9260,0x0119E361
0x000FCF13,0x011A5403
0x80100BAF,0x011AC4E3
0x80104834,0x011B3601
0x001084A2,0x011BA75D
0x0010C0F9,0x011C18F8
0x0010FD39,0x011C8AD2
0x80113962,0x011CFCEA
0x80117573,0x011D6F41
0x0011B16D,0x011DE1D7
0x0011ED4F,0x011E54AC
0x8012291A,0x011EC7C1
0x801264CD,0x011F3B15
0x8012A068,0x011FAEA9
0x0012DBEB,0x0120227C
0x00131756,0x0120968F
0x801352A9,0x01210AE2
0x80138DE3,0x01217F75
0x0013C905,0x0121F448
0x0014040F,0x0122695B
0x00143F00,0x0122DEAF
0x801479D8,0x01235443
0x8014B498,0x0123CA18
0x0014EF3F,0x0124402E
0x001529CD,0x0124B685
0x00156442,0x01252D1D
0x80159E9D,0x0125A3F6
0x8015D8DF,0x01261B10
0x00161308,0x0126926C
0x00164D17,0x01270A09
0x0016870C,0x012781E8
0x8016C0E8,0x0127FA09
0x8016FAAA,0x0128726C
0x00173452,0x0128EB11
0x00176DE0,0x012963F8
0x8017A754,0x0129DD21
0x8017E0AD,0x012A568D
0x801819EC,0x012AD03C
0x00185310,0x012B4A2D
0x00188C1A,0x012BC461
0x8018C509,0x012C3ED8
0x8018FDDD,0x012CB992
0x80193696,0x012D3490
0x00196F34,0x012DAFD1
0x0019A7B7,0x012E2B55
0x8019E01F,0x012EA71D
0x801A186B,0x012F2329
0x001A509C,0x012F9F79
0x001A88B1,0x01301C0D
0x001AC0AB,0x013098E5
0x801AF889,0x01311601
0x801B304B,0x01319362
0x001B67F1,0x01321107
0x001B9F7B,0x01328EF1
0x001BD6E9,0x01330D20
0x801C0E3A,0x01338B94
0x801C456F,0x01340A4D
0x001C7C87,0x0134894B
0x001CB382,0x0135088E
0x001CEA61,0x01358817
0x801D2123,0x013607E6
0x801D57C8,0x013687FA
0x001D8E4F,0x01370854
0x001DC4B9,0x013788F4
0x801DFB06,0x013809DA
0x801E3135,0x01388B07
0x801E6747,0x01390C7A
0x001E9D3B,0x01398E34
0x001ED311,0x013A1034
0x801F08C9,0x013A927B
0x801F3E63,0x013B1509
0x801F73DF,0x013B97DE
0x001FA93D,0x013C1AFA
0x001FDE7C,0x013C9E5E
0x8020139D,0x013D2209
0x8020489F,0x013DA5FC
0x00207D82,0x013E2A36
0x0020B247,0x013EAEB8
0x0020E6ED,0x013F3382
0x80211B74,0x013FB894
0x80214FDB,0x01403DEF
0x00218423,0x0140C392
0x0021B84C,0x0141497E
0x0021EC55,0x0141CFB2
0x8022203E,0x0142562F
0x80225408,0x0142DCF5
0x002287B2,0x01436404
0x0022BB3C,0x0143EB5C
0x0022EEA6,0x014472FE
0x802321EF,0x0144FAE9
0x80235518,0x0145831E
0x00238820,0x01460B9C
0x0023BB08,0x01469464
0x0023EDCF,0x01471D76
0x80242075,0x0147A6D3
0x802452FA,0x0148307A
0x0024855E,0x0148BA6B
0x0024B7A1,0x014944A7
0x8024E9C3,0x0149CF2D
0x80251BC3,0x014A59FE
0x00254DA2,0x014AE51A
0x00257F5F,0x014B7081
0x0025B0FA,0x014BFC33
0x8025E273,0x014C8831
0x802613CA,0x014D147A
0x002644FF,0x014DA10F
0x00267612,0x014E2DF0
0x0026A702,0x014EBB1D
0x8026D7D0,0x014F4896
0x8027087B,0x014FD65B
0x00273903,0x0150646C
0x00276969,0x0150F2C9
0x002799AC,0x01518173
0x8027C9CB,0x0152106A
0x8027F9C7,0x01529FAE
0x002829A0,0x01532F3E
0x00285955,0x0153BF1C
0x002888E7,0x01544F47
0x8028B855,0x0154DFBF
0x8028E79F,0x01557085
0x002916C5,0x01560198
0x002945C7,0x015692F9
0x802974A5,0x015724A8
0x8029A35F,0x0157B6A5
0x8029D1F4,0x015848F0
0x002A0064,0x0158DB89
0x002A2EB0,0x01596E71
0x802A5CD7,0x015A01A8
0x802A8AD9,0x015A952D
0x002AB8B6,0x015B2901
0x002AE66E,0x015BBD24
0x002B1400,0x015C5196
0x802B416D,0x015CE657
0x802B6EB4,0x015D7B68
0x002B9BD6,0x015E10C8
0x002BC8D2,0x015EA678
0x002BF5A8,0x015F3C78
0x802C2258,0x015FD2C8
0x802C4EE2,0x01606968
0x002C7B45,0x01610058
0x002CA782,0x01619798
0x002CD398,0x01622F29
0x802CFF87,0x0162C70A
0x802D2B50,0x01635F3C
0x002D56F2,0x0163F7BF
0x002D826D,0x01649093
0x002DADC0,0x016529B8
0x802DD8EC,0x0165C32E
0x802E03F1,0x01665CF5
0x002E2ECE,0x0166F70E
0x002E5983,0x01679179
0x802E8410,0x01682C35
0x802EAE76,0x0168C743
0x002ED8B3,0x016962A3
0x002F02C8,0x0169FE56
0x002F2CB5,0x016A9A5B
0x802F5679,0x016B36B2
0x802F8015,0x016BD35C
0x002FA988,0x016C7059
0x002FD2D2,0x016D0DA8
0x002FFBF3,0x016DAB4A
0x803024EB,0x016E4940
0x80304DBA,0x016EE789
0x0030765F,0x016F8625
0x00309EDB,0x01702515
0x0030C72D,0x0170C458
0x8030EF56,0x017163EF
0x80311755,0x017203DA
0x00313F2A,0x0172A419
0x003166D5,0x017344AC
0x00318E55,0x0173E593
0x8031B5AB,0x017486CF
0x8031DCD6,0x0175285F
0x003203D7,0x0175CA44
0x00322AAD,0x01766C7E
0x80325158,0x01770F0D
0x803277D8,0x0177B1F1
0x80329E2D,0x0178552A
0x0032C456,0x0178F8B9
0x0032EA54,0x01799C9D
0x80331026,0x017A40D7
0x803335CD,0x017AE566
0x00335B48,0x017B8A4B
0x00338097,0x017C2F86
0x0033A5BA,0x017CD517
0x8033CAB1,0x017D7AFF
0x8033EF7B,0x017E213D
0x00341419,0x017EC7D1
0x0034388A,0x017F6EBC
0x00345CCF,0x018015FE
0x803480E7,0x0180BD97
0x8034A4D2,0x01816587
0x0034C890,0x01820DCE
0x0034EC20,0x0182B66C
0x00350F83,0x01835F62
0x803532B8,0x018408AF
